Year,Make,Model,Used/New,Price
2017,Nissan,Maxima 3.5 S,Used,19989
2017,Chevrolet,Trax LS,Chevrolet Certified,17488
2020,Kia,Telluride SX,Used,46995
2020,Chrysler,300 S,Used,31500
2020,Hyundai,Santa Fe Limited 2.0T,Used,34744
2020,Mercedes-Benz,GLB 250 Base,Used,37220
2018,Ford,Mustang EcoBoost Premium,Used,21000
2005,Chrysler,Crossfire SRT-6,Used,24900
2019,Ford,F-150 XLT,Used,41922
2021,Mercedes-Benz,GLA 250 Base,Used,43850
2010,Porsche,Boxster,Used,28950
2014,FIAT,500L Easy,Used,9090
2015,Honda,Civic LX,Used,15995
2017,Honda,Civic LX,Used,19981
2020,Lexus,GX 460 Base,Used,49000
2019,BMW,X3 M40i,Used,47500
2019,Porsche,Macan S,Porsche Certified,63367
2019,Mercedes-Benz,CLA 250 Base,Mercedes-Benz Certified,29991
2019,BMW,X5 xDrive40i,Used,58591
2019,Mercedes-Benz,CLA 250 Base,Used,31497
2018,Mercedes-Benz,GLE 350 Base 4MATIC,Used,37963
2019,BMW,X5 xDrive40i,Used,53058
2016,Nissan,Rogue SV,Used,18485
2016,Nissan,Rogue SV,Used,15969
2017,Honda,Pilot Elite,Used,34955
2016,Nissan,Rogue SV,Used,19900
2015,BMW,428 i xDrive,Used,13899
2008,Lexus,RX 350 Base,Used,11495
2019,BMW,X7 xDrive50i,Used,69888
2019,Toyota,Camry XSE,Toyota Certified,30959
2019,Audi,A4 2.0T Premium,Used,31995
2019,Toyota,Camry XSE,Used,29900
2017,BMW,X5 xDrive35i,Used,31950
2020,Hyundai,Santa Fe SEL 2.4,Used,31997
2021,Kia,Telluride SX,Kia Certified,51980
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,39790
2019,Subaru,Forester,Used,26998
2015,Toyota,4Runner Limited,Used,35977
2020,BMW,X5 xDrive40i,Used,63940
2018,Toyota,4Runner Limited,Used,40899
2019,Mazda,CX-5 Grand Touring,Used,30299
2021,GMC,Yukon Denali,Used,82995
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Mercedes-Benz Certified,61988
2020,Tesla,Model Y Long Range,Used,73990
2018,Ford,F-150 XL,Used,34999
2021,Mazda,CX-9 Carbon Edition,Used,41990
2021,Tesla,Model Y Long Range,Used,72650
2021,Toyota,4Runner Limited,Toyota Certified,44864
2017,Chevrolet,Equinox Premier,Used,22999
2017,Lexus,RX 350 350,Used,35615
2020,BMW,X7 xDrive40i,Used,71819
2019,Jeep,Grand Cherokee Limited,Used,39439
2020,Ford,Edge Sport,Ford Certified,42989
2020,Lincoln,Aviator Reserve AWD,Used,58998
2016,Subaru,Crosstrek 2.0i Premium,Used,19687
2018,Subaru,Crosstrek 2.0i Limited,Used,28952
2018,Subaru,Crosstrek 2.0i Premium,Subaru Certified,26952
2020,Audi,Q5 45 Prestige,Used,49998
2021,Tesla,Model Y Long Range,Used,75209
2018,Volvo,V90 Cross Country T5,Used,50962
2014,Honda,Accord EX-L,Used,20800
2021,Toyota,4Runner Limited,Used,48000
2019,Audi,Q5 2.0T Premium,Used,33189
2011,Nissan,Murano SL,Used,12998
2021,Toyota,4Runner Nightshade,Used,55900
2020,Dodge,Challenger SXT,Used,27000
2019,Audi,Q8 3.0T Premium,Used,72991
2021,Kia,Telluride SX,Used,51273
2018,Hyundai,Elantra SEL,Used,15500
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Used,51998
2020,Kia,Telluride SX,Used,50995
2018,Porsche,Cayenne Base,Used,49965
2019,Lincoln,MKZ Standard,Used,33691
2018,Honda,HR-V LX,Used,17997
2018,Subaru,Forester 2.5i Limited,Subaru Certified,26999
2020,Ford,Edge ST,Used,43596
2020,Hyundai,Palisade Limited,Used,45500
2020,Nissan,Rogue SL,Used,33277
2019,Buick,Encore Preferred,Used,21989
2018,Jeep,Grand Cherokee Limited,Used,33663
2018,Toyota,RAV4 Hybrid XLE,Toyota Certified,30999
2019,Cadillac,XT4 Sport,Used,35998
2015,Chevrolet,Tahoe LTZ,Used,35473
2013,Kia,Soul +,Used,9099
2015,Chevrolet,Silverado 1500 LTZ,Used,26900
2018,Honda,Civic LX,Used,15995
2015,Acura,TLX Tech,Used,14999
2021,Acura,RDX Advance Package,Acura Certified,50767
2020,Honda,CR-V Hybrid Touring,Used,38999
2019,Tesla,Model 3 Standard Range Plus,Used,49996
2016,Toyota,Highlander Limited Platinum,Used,32979
